,t,value,price,chg,ma,sd,value_de,pos,pos_t-1,trade,cost,long_trade,short_trade,pnl
8760,2025-07-01 00:00:00,75.5699918717221,0.15013876009117202,-0.0029561822052240894,73.03194563352193,11.009503093090103,0.6132667056957597,0,0.0,0.0,0.0,0,0,-0.0
8761,2025-07-01 01:00:00,75.54874114666072,0.151113798923972,0.006494251266014661,73.01484411500195,10.98554862285907,0.6133259914712903,0,0.0,0.0,0.0,0,0,0.0
8762,2025-07-01 02:00:00,75.53424685739336,0.150577968819323,-0.003545871445655213,72.99770527466539,10.96144130582761,0.6136809746201592,0,0.0,0.0,0.0,0,0,-0.0
8763,2025-07-01 03:00:00,75.51145283242003,0.15093995699311,0.0024039916106275427,72.98052112244896,10.937172154083926,0.6136812412723484,0,0.0,0.0,0.0,0,0,0.0
8764,2025-07-01 04:00:00,75.47592255025741,0.150049523712137,-0.0058992549005008055,72.96328608791676,10.912745371063828,0.6131317765425696,0,0.0,0.0,0.0,0,0,-0.0
8765,2025-07-01 05:00:00,75.42922428859701,0.14911978386272,-0.006196219930698743,72.94598243293136,10.88813088996654,0.6120974609417702,0,0.0,0.0,0.0,0,0,-0.0
8766,2025-07-01 06:00:00,75.39784285968626,0.15040760373241802,0.008636143617828607,72.928631580159,10.863358967831848,0.6117310457084715,0,0.0,0.0,0.0,0,0,0.0
8767,2025-07-01 07:00:00,75.36607761200818,0.14998663499379,-0.002798852771944582,72.91124484080332,10.838458777881588,0.6113488475613001,0,0.0,0.0,0.0,0,0,-0.0
8768,2025-07-01 08:00:00,75.34159810933302,0.149068217039824,-0.0061233319489034654,72.89384052062582,10.813466087346118,0.6112866840776155,0,0.0,0.0,0.0,0,0,-0.0
8769,2025-07-01 09:00:00,75.32942808372027,0.149140293127691,0.00048351076640118507,72.87642809815871,10.788385515579126,0.611767589878369,0,0.0,0.0,0.0,0,0,0.0
8770,2025-07-01 10:00:00,75.3163509838321,0.148487668174856,-0.004375913035629009,72.85900468280444,10.763210180330157,0.6122119428214007,0,0.0,0.0,0.0,0,0,-0.0
8771,2025-07-01 11:00:00,75.28511486983822,0.148049120166764,-0.0029534305002054673,72.84155748886056,10.737934688110105,0.6118573260597052,0,0.0,0.0,0.0,0,0,-0.0
